Date,Open,High,Low,Close,Volume,Adj Close,Diff,StockUp,Year,Month,Day
2015-12-07,118.980003,119.860001,117.809998,118.279999,32084200,117.641646,0.700004,1,2015,12,7
2015-12-04,115.290001,119.25,115.110001,119.029999,57777000,118.387598,-3.739998,0,2015,12,4
2015-12-03,116.550003,116.790001,114.220001,115.199997,41569500,114.578267,1.350006,1,2015,12,3
2015-12-02,117.339996,118.110001,116.080002,116.279999,33386600,115.65244,1.059997,1,2015,12,2
2015-12-01,118.75,118.809998,116.860001,117.339996,34852400,116.706717,1.410004,1,2015,12,1
2015-11-30,117.989998,119.410004,117.75,118.300003,39180300,117.661542,-0.310005,0,2015,11,30
2015-11-27,118.290001,118.410004,117.599998,117.809998,13046400,117.174181,0.480003,1,2015,11,27
2015-11-25,119.209999,119.230003,117.919998,118.029999,21388300,117.392995,1.18,1,2015,11,25
2015-11-24,117.330002,119.349998,117.120003,118.879997,42803200,118.238406,-1.549995,0,2015,11,24
2015-11-23,119.269997,119.730003,117.339996,117.75,32482500,117.114508,1.519997,1,2015,11,23
2015-11-20,119.199997,119.919998,118.849998,119.300003,34287100,118.656145,-0.100006,0,2015,11,20
2015-11-19,117.639999,119.75,116.760002,118.779999,43295800,118.138948,-1.14,0,2015,11,19
2015-11-18,115.760002,117.489998,115.5,117.290001,46674700,116.656991,-1.529999,0,2015,11,18
2015-11-17,114.919998,115.050003,113.32,113.690002,27616900,113.076422,1.229996,1,2015,11,17
2015-11-16,111.379997,114.239998,111,114.18,38106700,113.563775,-2.800003,0,2015,11,16
2015-11-13,115.199997,115.57,112.269997,112.339996,45812400,111.733702,2.860001,1,2015,11,13
2015-11-12,116.260002,116.82,115.650002,115.720001,32525600,115.095465,0.540001,1,2015,11,12
2015-11-11,116.370003,117.419998,115.209999,116.110001,45218000,115.483359,0.260002,1,2015,11,11
2015-11-10,116.900002,118.07,116.059998,116.769997,59127900,116.139793,0.130005,1,2015,11,10
2015-11-09,120.959999,121.809998,120.050003,120.57,33871400,119.919288,0.389999,1,2015,11,9
2015-11-06,121.110001,121.809998,120.620003,121.059998,33042300,120.406641,0.050003,1,2015,11,6
2015-11-05,121.849998,122.690002,120.18,120.919998,39552700,120.267398,0.93,1,2015,11,5
2015-11-04,123.129997,123.82,121.620003,122,44886100,120.824373,1.129997,1,2015,11,4
2015-11-03,120.790001,123.489998,120.699997,122.57,45519000,121.388881,-1.779999,0,2015,11,3
2015-11-02,120.800003,121.360001,119.610001,121.18,32203300,120.012276,-0.379997,0,2015,11,2
2015-10-30,120.989998,121.220001,119.449997,119.5,49365300,118.348464,1.489998,1,2015,10,30
2015-10-29,118.699997,120.690002,118.269997,120.529999,51227300,119.368538,-1.830002,0,2015,10,29
2015-10-28,116.93,119.300003,116.059998,119.269997,85551400,118.120677,-2.339997,0,2015,10,28
2015-10-27,115.400002,116.540001,113.989998,114.550003,69884400,113.446167,0.849999,1,2015,10,27
2015-10-26,118.080002,118.129997,114.919998,115.279999,66333800,114.169128,2.800003,1,2015,10,26
2015-10-23,116.699997,119.230003,116.330002,119.080002,59366900,117.932513,-2.380005,0,2015,10,23
2015-10-22,114.330002,115.5,114.099998,115.5,41654100,114.387009,-1.169998,0,2015,10,22
2015-10-21,114,115.580002,113.699997,113.760002,41795200,112.663779,0.239998,1,2015,10,21
2015-10-20,111.339996,114.169998,110.82,113.769997,48967800,112.673677,-2.430001,0,2015,10,20
2015-10-19,110.800003,111.75,110.110001,111.730003,29759200,110.653341,-0.93,0,2015,10,19
2015-10-16,111.779999,112,110.529999,111.040001,38236300,109.969988,0.739998,1,2015,10,16
2015-10-15,110.93,112.099998,110.489998,111.860001,37673500,110.782086,-0.930001,0,2015,10,15
2015-10-14,111.290001,111.519997,109.559998,110.209999,44462400,109.147984,1.080002,1,2015,10,14
2015-10-13,110.82,112.449997,110.68,111.790001,33049300,110.712761,-0.970001,0,2015,10,13
2015-10-12,112.730003,112.75,111.440002,111.599998,30467200,110.524589,1.130005,1,2015,10,12
2015-10-09,110,112.279999,109.489998,112.120003,52766100,111.039583,-2.120003,0,2015,10,9
2015-10-08,110.190002,110.190002,108.209999,109.5,61979600,108.444827,0.690002,1,2015,10,8
2015-10-07,111.739998,111.769997,109.410004,110.779999,46765600,109.712491,0.959999,1,2015,10,7
2015-10-06,110.629997,111.739998,109.769997,111.309998,48857000,110.237383,-0.680001,0,2015,10,6
2015-10-05,109.879997,111.370003,109.07,110.779999,52064700,109.712491,-0.900002,0,2015,10,5
2015-10-02,108.010002,111.010002,107.550003,110.379997,58019800,109.316344,-2.369995,0,2015,10,2
2015-10-01,109.07,109.620003,107.309998,109.580002,63929100,108.524058,-0.510002,0,2015,10,1
2015-09-30,110.169998,111.540001,108.730003,110.300003,66473000,109.237121,-0.130005,0,2015,9,30
2015-09-29,112.830002,113.510002,107.860001,109.059998,73365400,108.009065,3.770004,1,2015,9,29
2015-09-28,113.849998,114.57,112.440002,112.440002,52109000,111.356499,1.409996,1,2015,9,28
2015-09-25,116.440002,116.690002,114.019997,114.709999,56151900,113.604621,1.730003,1,2015,9,25
2015-09-24,113.25,115.5,112.370003,115,50219500,113.891827,-1.75,0,2015,9,24
2015-09-23,113.629997,114.720001,113.300003,114.32,35756700,113.21838,-0.690003,0,2015,9,23
2015-09-22,113.379997,114.18,112.519997,113.400002,50346200,112.307247,-0.020005,0,2015,9,22
2015-09-21,113.669998,115.370003,113.660004,115.209999,50222000,114.099803,-1.540001,0,2015,9,21
2015-09-18,112.209999,114.300003,111.870003,113.449997,74285300,112.356761,-1.239998,0,2015,9,18
2015-09-17,115.660004,116.489998,113.720001,113.919998,64112600,112.822233,1.740006,1,2015,9,17
2015-09-16,116.25,116.540001,115.440002,116.410004,37173500,115.288244,-0.160004,0,2015,9,16
2015-09-15,115.93,116.529999,114.419998,116.279999,43341200,115.159492,-0.349999,0,2015,9,15
2015-09-14,116.580002,116.889999,114.860001,115.309998,58363400,114.198838,1.270004,1,2015,9,14
2015-09-11,111.790001,114.209999,111.760002,114.209999,49915500,113.109439,-2.419998,0,2015,9,11
2015-09-10,110.269997,113.279999,109.900002,112.57,62892800,111.485243,-2.300003,0,2015,9,10
2015-09-09,113.760002,114.019997,109.769997,110.150002,85010800,109.088565,3.61,1,2015,9,9
2015-09-08,111.75,112.559998,110.32,112.309998,54843600,111.227747,-0.559998,0,2015,9,8
2015-09-04,108.970001,110.449997,108.510002,109.269997,49996300,108.21704,-0.299996,0,2015,9,4
2015-09-03,112.489998,112.779999,110.040001,110.370003,53233900,109.306446,2.119995,1,2015,9,3
2015-09-02,110.230003,112.339996,109.129997,112.339996,61888800,111.257456,-2.109993,0,2015,9,2
2015-09-01,110.150002,111.879997,107.360001,107.720001,76845900,106.681981,2.430001,1,2015,9,1
2015-08-31,112.029999,114.529999,112,112.760002,56229300,111.673415,-0.730003,0,2015,8,31
2015-08-28,112.169998,113.309998,111.540001,113.290001,53164400,112.198306,-1.120003,0,2015,8,28
2015-08-27,112.230003,113.239998,110.019997,112.919998,84616100,111.831869,-0.689995,0,2015,8,27
2015-08-26,107.089996,109.889999,105.050003,109.690002,96774600,108.632999,-2.600006,0,2015,8,26
2015-08-25,111.110001,111.110001,103.5,103.739998,103601600,102.74033,7.370003,1,2015,8,25
2015-08-24,94.870003,108.800003,92,103.120003,162206300,102.126309,-8.25,0,2015,8,24
2015-08-21,110.43,111.900002,105.650002,105.760002,128275500,104.740869,4.669998,1,2015,8,21
2015-08-20,114.080002,114.349998,111.629997,112.650002,68501600,111.564474,1.43,1,2015,8,20
2015-08-19,116.099998,116.519997,114.68,115.010002,47445700,113.901733,1.089996,1,2015,8,19
2015-08-18,116.43,117.440002,116.010002,116.5,34560700,115.377373,-0.07,0,2015,8,18
2015-08-17,116.040001,117.650002,115.5,117.160004,40884700,116.031017,-1.120003,0,2015,8,17
